primary_key,input_street,input_zone,x,y,score,locator,matchAddress,standardizedAddress,addressGrid,message
F13-36594,691 W 1200 N Ste 200,84663.0,446920.2110372565,4448289.541938919,100.0,AddressPoints.AddressGrid,"691 W 1200 N, SPRINGVILLE",691 west 1200 north,SPRINGVILLE,
F21-83440,910 E 100 N #215,84651.0,438811.8271169312,4432888.719898445,100.0,AddressPoints.AddressGrid,"910 E 100 N, PAYSON",910 east 100 north,PAYSON,
F10-28646,160 N 200 W,84737.0,296573.49642513704,4117182.335413847,100.0,AddressPoints.AddressGrid,"160 N 200 W, HURRICANE",160 north 200 west,HURRICANE,
F10-28889,925 E 740 N,84322.0,0,0,0,,,,,No address candidates found with a score of 70 or better.
F14-40446,5724 W 13400 S,84096.0,412968.53205601405,4484702.0418725405,100.0,AddressPoints.AddressGrid,"5724 W 13400 S, SALT LAKE CITY",5724 west 13400 south,SALT LAKE CITY,
F17-57798,60 W 800 S,84335.0,430710.0907195046,4630116.640975325,100.0,AddressPoints.AddressGrid,"60 W 800 S, SMITHFIELD",60 west 800 south,SMITHFIELD,
F17-57360,1220 23rd Street,84401.0,420607.0305563741,4564132.783790144,100.0,AddressPoints.AddressGrid,"1220 23RD ST, OGDEN","1220 23rd Street, 84401",OGDEN,
F10-13646,1650 E 3300 S,84109.0,428667.1172937503,4505762.4019099055,100.0,AddressPoints.AddressGrid,"1650 E 3300 S, SALT LAKE CITY",1650 east 3300 south,SALT LAKE CITY,
F10-3565,4626 South Redwood Road,84123.0,420589.4708780549,4502496.843258579,100.0,AddressPoints.AddressGrid,"4626 S REDWOOD RD, SALT LAKE CITY","4626 South Redwood Road, 84123",SALT LAKE CITY,
F10-9989,2182 North Hill Field Road Ste 4,84041.0,418326.20031243225,4549390.163523226,100.0,AddressPoints.AddressGrid,"2182 N HILL FIELD RD, LAYTON",2182 north hill field road,LAYTON,
F10-28837,8627 S Redwood Road,84084.0,420614.9528179854,4494187.400704812,100.0,AddressPoints.AddressGrid,"8627 S REDWOOD RD, SALT LAKE CITY",8627 south redwood road,SALT LAKE CITY,
F20-78080,3118 N 1200 W,84043.0,426334.4296914402,4475482.910781361,100.0,AddressPoints.AddressGrid,"3118 N 1200 W, LEHI",3118 north 1200 west,LEHI,
F10-8664,777 S 1300 E,84102.0,427977.0374552352,4511632.497987864,100.0,AddressPoints.AddressGrid,"777 S 1300 E, SALT LAKE CITY",777 south 1300 east,SALT LAKE CITY,
F10-4079,500 S Foothill Blvd,84148.0,429045.5692,4512195.853,100.0,USPS Delivery Points,VETERANS ADMINISTRATION HOSPITAL,500 south foothill boulevard,SALT LAKE CITY,
F19-75360,288 N 1460 W,84116.0,421245.5114451852,4514302.189010485,100.0,AddressPoints.AddressGrid,"288 N 1460 W, SALT LAKE CITY",288 north 1460 west,SALT LAKE CITY,
